strategy,algo,func,dim,rep,fopt,time,iterations,seed
current-to-best1bin,SMCO_R,Rastrigin,50,0,1724.070936647647,5.177436179947108,158,647279673
current-to-best1bin,SMCO,Rastrigin,50,1,1670.220417774559,5.184959527803585,308,1677437249
current-to-best1bin,PSO,Rastrigin,50,5,1514.807145097613,0.2883475648704916,300,1940103363
current-to-best1bin,ADAM,Rastrigin,50,3,1476.1743084983286,4.483681666199118,3906,991992466
current-to-best1bin,SMCO_R_EVO,Rastrigin,50,3,1703.9837150683184,4.9288991240318865,308,991992466
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,1,1674.9303662848106,5.32761365105398,158,1677437249
current-to-best1bin,GA,Rastrigin,50,5,1658.079736961615,0.8765330500900745,300,1940103363
current-to-best1bin,GD,Rastrigin,50,6,1460.9560691074855,0.6097957058809698,340,814411795
current-to-best1bin,ADAM,Rastrigin,50,1,1419.2561853080097,5.8720291189383715,3906,1677437249
current-to-best1bin,optimLBFGS,Rastrigin,50,6,1446.2356862892948,0.13666574284434319,18,814411795
current-to-best1bin,SPSA,Rastrigin,50,6,1439.4063453962367,0.2809131848625839,4800,814411795
current-to-best1bin,SignGD,Rastrigin,50,4,1523.7204637604646,2.5824474771507084,2305,659688733
current-to-best1bin,optimNM,Rastrigin,50,6,1211.8932438441254,0.29084845702163875,2400,814411795
current-to-best1bin,GenSA,Rastrigin,50,4,2017.6645096918473,2.2352242339402437,300,659688733
current-to-best1bin,SMCO,Rastrigin,50,4,1748.4131442466385,4.595516019035131,308,659688733
current-to-best1bin,SMCO_R,Rastrigin,50,4,1740.1380041040532,4.408120305975899,158,659688733
current-to-best1bin,SMCO_EVO,Rastrigin,50,3,1706.3896891894199,6.283194703049958,308,991992466
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,4,1741.1967212863121,3.4550065759103745,158,659688733
current-to-best1bin,SignGD,Rastrigin,50,6,1502.5596689840509,1.6000717610586435,1806,814411795
current-to-best1bin,SMCO_BR,Rastrigin,50,4,1759.8155231797325,4.637356966966763,83,659688733
current-to-best1bin,SMCO_EVO,Rastrigin,50,4,1740.5141814380331,4.5928020449355245,308,659688733
current-to-best1bin,GA,Rastrigin,50,6,1712.143100442983,0.7888736252207309,300,814411795
current-to-best1bin,SignGD,Rastrigin,50,5,1463.049194278186,2.643080344190821,2305,1940103363
current-to-best1bin,PSO,Rastrigin,50,6,1503.37856862956,0.6481623519212008,300,814411795
current-to-best1bin,ADAM,Rastrigin,50,4,1525.7967653868832,3.5584656570572406,3896,659688733
current-to-best1bin,GD,Rastrigin,50,7,1460.6878681963515,0.16569705493748188,260,1838791539
current-to-best1bin,optimLBFGS,Rastrigin,50,7,1469.0928392207425,0.04226881009526551,17,1838791539
current-to-best1bin,GenSA,Rastrigin,50,5,2017.6645096837512,2.6950105619616807,300,1940103363
current-to-best1bin,SPSA,Rastrigin,50,7,1431.6568033955643,0.48627530690282583,4800,1838791539
current-to-best1bin,SMCO_R_EVO,Rastrigin,50,4,1744.1603854006817,5.07563807698898,308,659688733
current-to-best1bin,optimNM,Rastrigin,50,7,1204.212325613284,0.36174573097378016,2400,1838791539
current-to-best1bin,SMCO,Rastrigin,50,5,1694.260062773462,3.68128011492081,308,1940103363
current-to-best1bin,SMCO,Rastrigin,50,6,1688.3189685684088,3.4589004528243095,308,814411795
current-to-best1bin,GA,Rastrigin,50,7,1648.8243597198975,0.8443175868596882,300,1838791539
current-to-best1bin,ADAM,Rastrigin,50,5,1470.8887322662126,4.283609603065997,3896,1940103363
current-to-best1bin,PSO,Rastrigin,50,7,1514.807145097613,0.24582172208465636,300,1838791539
current-to-best1bin,SignGD,Rastrigin,50,7,1505.0666324322356,1.7915019721258432,1307,1838791539
current-to-best1bin,GenSA,Rastrigin,50,6,2017.6645096919365,2.917007606010884,300,814411795
current-to-best1bin,SMCO_EVO,Rastrigin,50,5,1706.4789073624634,4.901732399128377,308,1940103363
current-to-best1bin,ADAM,Rastrigin,50,6,1504.3174181994768,4.286878812825307,3896,814411795
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,5,1702.7375760532914,5.181552358204499,158,1940103363
current-to-best1bin,SMCO_R,Rastrigin,50,5,1681.8535191579977,5.385278636123985,158,1940103363
current-to-best1bin,SMCO_BR,Rastrigin,50,7,1718.0099773044935,3.11483128904365,83,1838791539
current-to-best1bin,GD,Rastrigin,50,8,1449.1420200363195,0.23952760407701135,232,563824817
