label,name,dim,maximize,repetitions,iter_max,n_starts,seed,evolution_strategy,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Ackley_10d,Ackley,10,False,20,300,10,20260828,sobol,0.03153000336684686,SMCO,0.9267632810049691,0.20616559505386522,0.1930029793560184,0.25933842710544897,0.26371417808612735,0.23369173527927717,0.041484134368403834
Ackley_10d,Ackley,10,False,20,300,10,20260828,sobol,0.03153000336684686,SMCO_BR,0.9529520799493184,0.02694338815952947,0.027669215302811523,0.03539745390470746,0.035756985339105575,0.05730520075258196,0.008051502981069804
Ackley_10d,Ackley,10,False,20,300,10,20260828,sobol,0.03153000336684686,SMCO_BR_EVO,0.9476631295488914,0.02993847045214669,0.029646104946028373,0.038203903646855684,0.03887282835067285,0.060768130129287015,0.006604938856846065
Ackley_10d,Ackley,10,False,20,300,10,20260828,sobol,0.03153000336684686,SMCO_EVO,0.9345802713563899,0.22733682060994329,0.2276116672785502,0.2619188777665773,0.2650566143143724,0.2575854255294173,0.024729613952752284
Ackley_10d,Ackley,10,False,20,300,10,20260828,sobol,0.03153000336684686,SMCO_R,0.9342102134047309,0.02205152661062768,0.021354880783476915,0.029506092517503826,0.030806930429749604,0.051999511298558065,0.008414840955611994
Ackley_10d,Ackley,10,False,20,300,10,20260828,sobol,0.03153000336684686,SMCO_R_EVO,0.9285168057482224,0.02492611940859723,0.022898707487664538,0.03717110381007558,0.03959315932332742,0.0544153033292674,0.0101345928904126
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,sobol,0.02853249840800938,SMCO,0.07969647409918253,0.15798384501046223,0.1385584660120707,0.28139339680661896,0.33404599232891585,0.1649648297902512,0.08172556282362199
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,sobol,0.02853249840800938,SMCO_BR,0.08488230460789055,0.11753933043870181,0.11074545337061752,0.17327865598266767,0.1870161909249252,0.13756744060957377,0.04503654164389113
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,sobol,0.02853249840800938,SMCO_BR_EVO,0.08436739555036184,0.10929831020281568,0.10982397487212246,0.14983945641793156,0.1670576537169253,0.12778472047086226,0.0469615411382667
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,sobol,0.02853249840800938,SMCO_EVO,0.08831604079459794,0.20495215936763586,0.16767465579775828,0.333776295029666,0.37359700141242597,0.213910798737554,0.08967939032368204
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,sobol,0.02853249840800938,SMCO_R,0.08166215980018024,0.0971485959035733,0.08869798844692643,0.1372505111466445,0.14486683706822046,0.12025598119284879,0.03284176403773969
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,sobol,0.02853249840800938,SMCO_R_EVO,0.08553788474819157,0.11428633159625307,0.08819758610001102,0.16101765984032773,0.23584152589481824,0.13256161610503953,0.04855066004111109
