strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,SMCO_EVO,Rosenbrock,3000,0,-671.178149894515,8108.075,185,3021,main
rand1bin,SMCO_EVO,Ackley,3000,1,-0.343975411984733,8077.591,390,1003024,main
rand1bin,SMCO_EVO,Ackley,3000,0,-0.339198836102977,8277.355,390,3021,main
rand1bin,SMCO,Ackley,5000,1,-3.59898824102485,25263.831,371,1005024,main
rand1bin,SMCO,Ackley,5000,0,-3.60378373344047,25308.386,371,5021,main
rand1bin,SMCO_EVO,Rastrigin,3000,0,-25152.4064294119,9626.023,895,3021,main
rand1bin,SMCO_EVO,Rastrigin,3000,1,-25544.769661915,9627.114,895,1003024,main
rand1bin,SMCO_R_EVO,Rosenbrock,3000,1,-65.1378951578238,6707.409,707,1003024,main
rand1bin,SMCO_R_EVO,Rosenbrock,3000,0,-64.86490418986,6701.454,298,3021,main
rand1bin,SMCO_R_EVO,Ackley,3000,1,-0.0736763067921449,6972.326,707,1003024,main
rand1bin,SMCO_R,Rosenbrock,5000,1,-2396.24757469062,15905.202,221,1005024,main
rand1bin,SMCO_R_EVO,Ackley,3000,0,-0.0739622498486239,7104.842,298,3021,main
rand1bin,SMCO_R,Rosenbrock,5000,0,-2181.6356803266,16745.702,221,5021,main
rand1bin,SMCO_R_EVO,Rastrigin,3000,0,-25086.5795215763,7857.515,707,3021,main
rand1bin,SMCO_R_EVO,Rastrigin,3000,1,-25476.4476124768,7863.122,707,1003024,main
rand1bin,SMCO_BR_EVO,Rosenbrock,3000,1,-74.6331345920796,6808.388,464,1003024,main
rand1bin,DEoptim,Rosenbrock,3000,1,-312165401.944139,0.489000000001397,300,1003024,main
rand1bin,GA,Rosenbrock,3000,1,-19416350.1387051,4.44900000000052,300,1003024,main
rand1bin,PSO,Rosenbrock,3000,1,-45908598.8550324,5.08099999999831,300,1003024,main
rand1bin,SMCO_BR_EVO,Rosenbrock,3000,0,-74.0670678007287,6820.019,464,3021,main
rand1bin,DEoptim,Rosenbrock,3000,0,-315758142.827248,0.477999999995518,300,3021,main
rand1bin,GA,Rosenbrock,3000,0,-19595054.8041569,4.57299999999668,300,3021,main
