strategy,algo,func,dim,rep,fopt,time,iterations,seed,shard
rand1bin,SMCO_BR,Rastrigin,200,3,-331.0266973244852,42.88993145339191,90,949772676,213
rand1bin,optimLBFGS,Rastrigin,200,5,-1310.353774623159,3.0657351724803448,228,625018708,213
rand1bin,optimNM,Rastrigin,200,5,-3448.403659428473,1.502794148400426,4500,625018708,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,3,-323.1268639017512,42.04108082130551,165,949772676,213
rand1bin,SMCO_R_EVO,Rastrigin,200,3,-320.64687285053014,43.10711275227368,315,949772676,213
rand1bin,GA,Rastrigin,200,5,-1819.9734562307951,0.7318154722452164,300,625018708,213
rand1bin,PSO,Rastrigin,200,5,-2213.7234750640087,0.307814110070467,300,625018708,213
rand1bin,SignGD,Rastrigin,200,5,-1681.0210294097217,14.580904021859167,2513,625018708,213
rand1bin,BOBYQA,Rastrigin,200,0,-2232.4285736780703,74.48714171163738,4500,647279673,213
rand1bin,GenSA,Rastrigin,200,4,-0.994959057095457,28.501584170386195,300,1673381394,213
rand1bin,SA,Rastrigin,200,1,-102.4807325024408,76.01788100227714,300,1677437249,213
rand1bin,BOBYQA,Rastrigin,200,2,-2137.2995457672214,73.28921763040125,4500,869192137,213
rand1bin,SA,Rastrigin,200,2,-112.4303079145468,71.91928850486875,300,869192137,213
rand1bin,ADAM,Rastrigin,200,3,-1493.4250750759122,42.276739532127976,7701,949772676,213
rand1bin,GD,Rastrigin,200,4,-2673.436502479336,36.4871230032295,5784,1673381394,213
rand1bin,SMCO_R,Rastrigin,200,4,-397.4183549805639,38.95110781304538,165,1673381394,213
rand1bin,SPSA,Rastrigin,200,6,-2917.270322246201,0.2565239481627941,5133,1016789110,213
rand1bin,GD,Rastrigin,200,5,-2468.4725336107417,23.32452837564051,4579,625018708,213
rand1bin,SMCO,Rastrigin,200,4,-402.54767752173984,41.6997185703367,315,1673381394,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,4,-400.3733273944136,39.816112767905,165,1673381394,213
rand1bin,BOBYQA,Rastrigin,200,1,-2264.6838219562,83.68159075267613,4500,1677437249,213
rand1bin,optimLBFGS,Rastrigin,200,6,-1270.5557578757516,3.0654601231217384,249,1016789110,213
rand1bin,SMCO_BR,Rastrigin,200,4,-393.2179139286332,42.05317136645317,90,1673381394,213
rand1bin,optimNM,Rastrigin,200,6,-3368.392084103108,1.5720449723303318,4500,1016789110,213
rand1bin,GA,Rastrigin,200,6,-1765.7789535595248,0.7278379667550325,300,1016789110,213
rand1bin,PSO,Rastrigin,200,6,-2146.4154131020605,0.4560845140367746,300,1016789110,213
rand1bin,SMCO,Rastrigin,200,5,-432.6391043122228,38.53756176121533,315,625018708,213
rand1bin,GenSA,Rastrigin,200,5,-1.9899181141895497,24.48919040709734,300,625018708,213
rand1bin,SignGD,Rastrigin,200,6,-1596.377367201321,12.243368107825518,2513,1016789110,213
rand1bin,ADAM,Rastrigin,200,4,-1591.9256955248295,45.821312291547656,7705,1673381394,213
rand1bin,SMCO_R_EVO,Rastrigin,200,4,-408.366450474528,48.78481460735202,315,1673381394,213
rand1bin,SMCO_EVO,Rastrigin,200,4,-402.0884895614249,50.58971134573221,315,1673381394,213
rand1bin,SMCO_R_EVO,Rastrigin,200,5,-434.3385410465885,38.9970639180392,315,625018708,213
rand1bin,SMCO_R,Rastrigin,200,5,-425.1865070004933,45.49387753941119,165,625018708,213
rand1bin,SPSA,Rastrigin,200,7,-2734.554307158711,0.62700523622334,6237,101710889,213
rand1bin,SMCO_BR,Rastrigin,200,5,-428.9591065531622,47.44627217948437,90,625018708,213
rand1bin,SMCO_EVO,Rastrigin,200,5,-434.7172747755626,47.50863970629871,315,625018708,213
rand1bin,ADAM,Rastrigin,200,5,-1620.7781104985238,37.98952496983111,7711,625018708,213
rand1bin,optimNM,Rastrigin,200,7,-3368.693015739469,1.5642340499907732,4500,101710889,213
rand1bin,optimLBFGS,Rastrigin,200,7,-1131.2623925792905,3.8653407022356983,224,101710889,213
rand1bin,GD,Rastrigin,200,6,-2558.024898084078,27.55594794638455,4986,1016789110,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,5,-434.1198681280248,48.51121699810028,165,625018708,213
rand1bin,BOBYQA,Rastrigin,200,3,-2174.0020417699184,67.52283667773008,4500,949772676,213
rand1bin,PSO,Rastrigin,200,7,-1993.4738304860905,0.4467353392392397,300,101710889,213
rand1bin,GA,Rastrigin,200,7,-1844.0682633229276,0.9334621578454972,300,101710889,213
rand1bin,GenSA,Rastrigin,200,6,-1.9899181141920508,23.31523267179728,300,1016789110,213
rand1bin,SA,Rastrigin,200,3,-120.3899955310792,69.74345018155873,300,949772676,213
rand1bin,SignGD,Rastrigin,200,7,-1442.6376714091216,18.184249963611364,3012,101710889,213
rand1bin,SMCO_BR,Rastrigin,200,6,-452.1560870151668,40.78247646801174,90,1016789110,213
rand1bin,GD,Rastrigin,200,7,-2445.59529970862,22.791617043316364,3797,101710889,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,6,-466.00199225482015,41.61062722094357,165,1016789110,213
rand1bin,SMCO,Rastrigin,200,6,-456.7137444342975,48.94645628333092,315,1016789110,213
rand1bin,SA,Rastrigin,200,4,-139.29417726982228,71.43325790017843,300,1673381394,213
rand1bin,SPSA,Rastrigin,200,8,-2772.165723647416,0.3827772550284862,4336,483844954,213
